timestamp,session_id,consulta_original,tokens_detectados,faq_id_asignada,categoria,puntaje,resultado,intentos_fallidos_sesion
2026-07-30T18:00:23,est-nuevo-03,como entro a mis clases virtuales,entro clases virtuales,SOP09,Soporte y Cuentas,10,respondida,0
2026-07-30T18:00:23,est-nuevo-03,necesito una constancia de pago,necesito constancia pago,SOP10,Soporte y Cuentas,12,respondida,0
2026-07-30T18:00:23,est-nuevo-03,quiero hablar con un asesor,quiero hablar asesor,N/A,N/A,0,transferencia_explicita,0
2026-07-30T18:00:23,est-nuevo-04,[MENU] ¿Qué deportes o equipos representativos tiene la universidad?,deportes equipos representativos,VID01,Vida Estudiantil,0,respondida_menu,0
2026-07-30T18:00:23,est-nuevo-04,y como me uno a un voluntariado,uno voluntariado,VID02,Vida Estudiantil,3,respondida,0
2026-07-30T18:00:23,est-nuevo-04,donde veo los eventos de la universidad,veo eventos,INF09,Infraestructura,3,respondida,0
2026-07-30T18:00:23,est-nuevo-05,lo de la cosa esa del sistema,cosa sistema,N/A,N/A,0,sin_resultado,1
2026-07-30T18:00:23,est-nuevo-05,me refiero a ver mis calificaciones,refiero ver calificaciones,ACA11,Procesos Academicos,7,respondida,0
2026-07-30T18:00:23,est-nuevo-05,y como calculo mi indice academico,calculo indice academico,ACA12,Procesos Academicos,13,respondida,0
2026-07-30T18:00:23,est-nuevo-06,[MENU] ¿Cuál es el horario de la biblioteca?,horario biblioteca,HOR07,Horarios,0,respondida_menu,0
2026-07-30T18:00:23,est-nuevo-06,[MENU] ¿Dónde está la librería o el centro de fotocopiado?,libreria centro fotocopiado,INF10,Infraestructura,0,respondida_menu,0
2026-07-30T18:00:23,est-nuevo-06,[MENU] ¿Cómo puedo realizar la prematrícula o matrícula de mis clases?,realizar prematricula matricula clases,ACA02,Procesos Academicos,0,respondida_menu,0
2026-07-30T18:00:23,est-nuevo-06,[MENU] ¿Qué becas ofrece la institución?,becas,SOP03,Soporte y Cuentas,0,respondida_menu,0
2026-07-30T18:03:03,test1,como pido reposicion de examen,pido reposicion examen,ACA10,Procesos Academicos,18,respondida,0
2026-07-30T18:03:03,test1,[MENU] ¿La universidad tiene bolsa de trabajo o pasantías?,bolsa trabajo pasantias,VID04,Vida Estudiantil,0,respondida_menu,0
